feature	coef	abs_coef	nonzero
DNase_tss_entropy	-0.05932426294419995	0.05932426294419995	True
DNase_ratio_std_rank	0.0288602310161962	0.0288602310161962	True
DNase_H3K4me3_interaction_rank	0.02771686922169336	0.02771686922169336	True
DNase_tss_autocorr_rank	0.027407049828671853	0.027407049828671853	True
DNase_tss_entropy_rank	0.020974465199709663	0.020974465199709663	True
H3K36me3_gene_z_mean_rank	0.020105939754219683	0.020105939754219683	True
H3K4me3_gene_z_std	0.015744074993117148	0.015744074993117148	True
H3K36me3_tss_z_mean_rank	-0.015112505866281024	0.015112505866281024	True
H3K4me3_promoter_body_delta	-0.014263423114708044	0.014263423114708044	True
DNase_promoter_body_delta_rank	0.01278837940138398	0.01278837940138398	True
DNase_H3K27ac_interaction_rank	0.010601142651042297	0.010601142651042297	True
DNase_gene_autocorr_rank	0.010571358527388316	0.010571358527388316	True
H3K27ac_tss_z_mean_rank	0.010337805090936516	0.010337805090936516	True
H3K27me3_gene_z_std_rank	0.008679383931795704	0.008679383931795704	True
H3K36me3_H3K4me1_interaction_rank	-0.007283340621784861	0.007283340621784861	True
H3K27ac_tss_entropy_rank	-0.0070827051411341685	0.0070827051411341685	True
activation_index_rank	0.006916250263307293	0.006916250263307293	True
H3K4me1_tss_entropy_rank	-0.00687629185713839	0.00687629185713839	True
DNase_tss_skewness_rank	-0.006688344168632561	0.006688344168632561	True
H3K27ac_H3K36me3_interaction_rank	-0.006232832039676388	0.006232832039676388	True
H3K9me3_gene_z_std_rank	-0.006136289759405443	0.006136289759405443	True
promoter_variability_rank	0.006130954327330947	0.006130954327330947	True
H3K27ac_H3K4me3_interaction	0.006101858387595246	0.006101858387595246	True
H3K36me3_axis_sum_rank	0.005989208151224443	0.005989208151224443	True
H3K4me3_gene_autocorr_rank	0.005985281447126332	0.005985281447126332	True
H3K4me1_tss_z_min	-0.005923500239824513	0.005923500239824513	True
H3K27ac_H3K4me3_interaction_rank	0.005739981801229367	0.005739981801229367	True
H3K27ac_ratio_std_rank	-0.005611148156882336	0.005611148156882336	True
H3K4me3_tss_z_min	-0.005529757174390629	0.005529757174390629	True
H3K27ac_tss_skewness	0.005199837102906688	0.005199837102906688	True
H3K36me3_ratio_mean_rank	-0.005152538722536915	0.005152538722536915	True
H3K36me3_ratio_std_rank	-0.0050430432632828075	0.0050430432632828075	True
DNase_tss_autocorr	-0.004669423008786359	0.004669423008786359	True
DNase_gene_z_std	-0.004554130119404332	0.004554130119404332	True
DNase_H3K27me3_interaction_rank	0.004123819289457801	0.004123819289457801	True
H3K4me1_tss_z_min_rank	-0.0038937590476871933	0.0038937590476871933	True
tss_length	0.0033891076190806957	0.0033891076190806957	True
H3K27me3_ratio_std_rank	-0.0033739306965636525	0.0033739306965636525	True
H3K9me3_gene_z_mean	-0.0033168762700255838	0.0033168762700255838	True
H3K27ac_tss_z_min_rank	0.0031166923854385863	0.0031166923854385863	True
DNase_gene_z_min	-0.003107835476500773	0.003107835476500773	True
H3K27ac_ratio_std	0.0029706317634867856	0.0029706317634867856	True
H3K27ac_tss_skewness_rank	-0.0028593374732614283	0.0028593374732614283	True
H3K27ac_gene_z_min	-0.0028560925635279393	0.0028560925635279393	True
H3K27me3_gene_z_std	-0.002763428616594211	0.002763428616594211	True
H3K36me3_axis_sum	0.0026783298204465507	0.0026783298204465507	True
H3K27me3_gene_entropy	0.0025935817651684735	0.0025935817651684735	True
H3K9me3_axis_sum	-0.0023197261310515605	0.0023197261310515605	True
H3K4me3_H3K27me3_interaction_rank	0.0021841532285471325	0.0021841532285471325	True
H3K27ac_gene_z_std_rank	0.002164769903185467	0.002164769903185467	True
H3K27me3_gene_z_mean_rank	0.002142160040311176	0.002142160040311176	True
DNase_ratio_mean_rank	0.002117297661632936	0.002117297661632936	True
H3K27ac_H3K9me3_interaction	-0.0019671020934027197	0.0019671020934027197	True
H3K27me3_ratio_mean_rank	0.0019037341822926988	0.0019037341822926988	True
H3K9me3_tss_autocorr_rank	0.0018558651788832031	0.0018558651788832031	True
H3K27me3_promoter_body_delta	0.00182221082940077	0.00182221082940077	True
H3K27ac_tss_kurtosis	0.0017640341839032273	0.0017640341839032273	True
H3K4me1_gene_kurtosis	-0.0017167283617945698	0.0017167283617945698	True
H3K4me3_H3K27me3_interaction	-0.0016827708303270702	0.0016827708303270702	True
H3K4me3_tss_entropy	0.0016456842588289707	0.0016456842588289707	True
H3K4me1_tss_autocorr_rank	-0.0016157178365123865	0.0016157178365123865	True
H3K27me3_gene_kurtosis_rank	-0.001600339194823656	0.001600339194823656	True
H3K9me3_tss_kurtosis_rank	0.001529454636071033	0.001529454636071033	True
H3K4me3_gene_z_min_rank	0.0015192478399127954	0.0015192478399127954	True
H3K27me3_gene_slope_rank	-0.0014927044085528821	0.0014927044085528821	True
H3K27ac_H3K4me1_interaction	0.0014399451701955957	0.0014399451701955957	True
H3K36me3_gene_slope_rank	-0.0013609248498092962	0.0013609248498092962	True
H3K27ac_gene_skewness	0.0012658844988149938	0.0012658844988149938	True
H3K4me1_tss_kurtosis_rank	-0.0012656385961316823	0.0012656385961316823	True
H3K27me3_tss_skewness	-0.0012484406075307722	0.0012484406075307722	True
H3K27ac_gene_slope_rank	-0.0012193947956165316	0.0012193947956165316	True
DNase_H3K27me3_interaction	-0.0012191179714330894	0.0012191179714330894	True
H3K9me3_tss_z_min	-0.0012134734897172308	0.0012134734897172308	True
H3K27ac_gene_autocorr_rank	0.0011459695113796966	0.0011459695113796966	True
