iter	Passed	Remaining
193	38096	1140143
194	38287	1139789
195	38484	1139606
196	38678	1139333
197	38865	1138881
198	39049	1138322
199	39235	1137834
200	39425	1137460
201	39617	1137126
202	39806	1136728
203	39987	1136125
204	40172	1135608
205	40358	1135137
206	40543	1134620
207	40733	1134261
208	40923	1133927
209	41109	1133449
210	41295	1132985
211	41481	1132520
212	41667	1132063
213	41854	1131633
214	42036	1131085
215	42282	1132218
216	42477	1132017
217	42668	1131681
218	42857	1131331
219	43043	1130863
220	43229	1130425
221	43419	1130078
222	43606	1129657
223	43800	1129436
224	43988	1129028
225	44173	1128573
226	44364	1128259
227	44547	1127764
228	44735	1127361
229	44921	1126936
230	45104	1126441
231	45292	1126061
232	45481	1125715
233	45671	1125385
234	45854	1124888
235	46041	1124493
236	46225	1124039
237	46420	1123843
238	46616	1123660
239	46807	1123382
240	46989	1122875
241	47192	1122861
242	47393	1122817
243	47581	1122460
244	47777	1122287
245	47992	1122567
246	48196	1122566
247	48387	1122269
248	48705	1124931
249	48976	1126454
250	49193	1126754
251	49405	1126921
252	49599	1126674
253	49806	1126720
254	49994	1126337
255	50194	1126248
256	50380	1125815
257	50572	1125522
258	50757	1125084
259	50956	1124966
260	51143	1124575
261	51334	1124263
262	51525	1123967
263	51713	1123598
264	51909	1123406
265	52103	1123154
266	52288	1122737
267	52475	1122346
268	52672	1122168
269	52866	1121946
270	53060	1121703
271	53244	1121270
272	53434	1120953
273	53615	1120451
274	53802	1120066
275	53985	1119603
276	54174	1119275
277	54355	1118788
278	54541	1118394
279	54732	1118098
280	54920	1117759
281	55116	1117565
282	55323	1117610
283	55530	1117658
284	55736	1117661
285	55985	1118526
286	56184	1118403
287	56384	1118297
288	56595	1118398
289	56789	1118175
290	56978	1117834
291	57194	1118038
292	57415	1118332
293	57629	1118486
294	57836	1118501
295	58035	1118350
296	58231	1118152
297	58434	1118107
298	58675	1118756
299	58880	1118733
300	59078	1118571
301	59270	1118289
302	59449	1117775
303	59626	1117220
304	59808	1116755
305	59985	1116200
306	60161	1115642
307	60338	1115088
308	60528	1114789
309	60708	1114302
310	60885	1113750
311	61063	1113227
312	61243	1112752
313	61422	1112258
314	61599	1111733
315	61779	1111241
316	61956	1110715
317	62133	1110188
318	62312	1109700
319	62492	1109249
320	62674	1108811
321	62855	1108371
322	63029	1107794
323	63223	1107586
324	63406	1107174
325	63587	1106739
326	63773	1106385
327	63986	1106494
328	64202	1106658
329	64417	1106811
330	64620	1106745
331	64823	1106682
332	65008	1106321
333	65214	1106297
334	65403	1106006
335	65589	1105652
336	65784	1105460
337	65973	1105154
338	66171	1105001
339	66350	1104534
340	66531	1104117
341	66728	1103950
342	66930	1103871
343	67123	1103632
344	67305	1103218
345	67486	1102797
346	67685	1102670
347	67879	1102464
348	68073	1102245
349	68256	1101860
350	68439	1101464
351	68632	1101246
352	68824	1100995
353	69005	1100586
354	69199	1100375
355	69435	1100823
356	69699	1101717
357	69959	1102543
358	70284	1104386
359	70519	1104810
360	70716	1104626
361	70903	1104295
362	71133	1104625
363	71332	1104474
364	71526	1104248
365	71760	1104634
366	71976	1104747
367	72177	1104623
368	72409	1104981
369	72595	1104633
370	72783	1104307
371	72968	1103946
372	73154	1103586
373	73341	1103254
374	73540	1103108
375	73729	1102799
376	73922	1102563
377	74103	1102142
378	74298	1101936
379	74498	1101798
380	74692	1101560
381	74891	1101420
382	75082	1101140
383	75276	1100916
384	75499	1101110
385	75680	1100703
386	75872	1100449
387	76070	1100279
388	76278	1100259
389	76470	1100005
390	76672	1099887
391	76865	1099651
392	77050	1099291
393	77233	1098912
394	77412	1098475
395	77596	1098101
396	77774	1097662
397	77949	1097167
398	78129	1096750
399	78450	1098303
400	78848	1100926
401	79165	1102409
402	79623	1105834
403	79882	1106495
404	80113	1106755
405	80353	1107138
406	80550	1106932
407	80759	1106886
408	80989	1107119
409	81227	1107472
410	81467	1107833
411	81784	1109251
412	82006	1109365
413	82209	1109230
414	82409	1109051
415	82607	1108846
416	82795	1108502
417	82986	1108210
418	83173	1107854
419	83354	1107421
420	83550	1107189
421	83730	1106753
422	83932	1106593
423	84110	1106127
424	84291	1105709
425	84467	1105218
426	84648	1104792
427	84828	1104362
428	85005	1103876
429	85211	1103785
430	85400	1103472
431	85584	1103084
432	85777	1102826
433	85970	1102566
434	86159	1102252
435	86349	1101946
436	86542	1101689
437	86722	1101256
438	86909	1100916
439	87101	1100648
440	87288	1100312
441	87464	1099833
442	87657	1099582
443	87861	1099454
444	88039	1099011
445	88243	1098886
446	88449	1098787
447	88649	1098626
448	88847	1098420
449	89036	1098111
450	89224	1097801
451	89424	1097627
452	89643	1097682
453	89854	1097643
454	90068	1097650
455	90279	1097610
456	90478	1097421
457	90670	1097156
458	90859	1096843
459	91045	1096504
460	91242	1096295
461	91465	1096394
462	91668	1096257
463	91924	1096750
464	92119	1096519
465	92321	1096363
466	92505	1096000
467	92693	1095686
468	92888	1095454
469	93069	1095051
470	93341	1095726
471	93535	1095478
472	93718	1095103
473	93917	1094908
474	94094	1094468
475	94282	1094152
476	94476	1093901
477	94673	1093692
478	94851	1093270
479	95028	1092823
480	95205	1092387
481	95379	1091921
482	95556	1091475
483	95730	1091013
484	95910	1090613
485	96087	1090181
486	96266	1089764
487	96442	1089330
488	96622	1088927
489	96797	1088479
490	96971	1088010
491	97148	1087585
492	97324	1087147
493	97507	1086790
494	97694	1086484
495	97988	1087360
496	98226	1087601
497	98430	1087478
498	98611	1087098
499	98799	1086799
500	98986	1086476
501	99170	1086136
502	99357	1085824
503	99546	1085531
504	99745	1085351
505	99937	1085097
506	100129	1084837
507	100337	1084748
508	100532	1084527
509	100720	1084224
510	100903	1083869
511	101089	1083557
512	101272	1083203
513	101451	1082803
514	101634	1082458
515	101816	1082094
516	102005	1081813
517	102191	1081498
518	102377	1081174
519	102561	1080844
520	102740	1080456
521	102932	1080201
522	103119	1079892
523	103308	1079612
524	103488	1079236
525	103693	1079120
526	103876	1078777
527	104146	1079338
528	104374	1079455
529	104605	1079608
530	104843	1079825
531	105059	1079823
532	105269	1079756
533	105464	1079527
534	105648	1079193
535	105829	1078827
536	106010	1078460
537	106201	1078204
538	106406	1078082
539	106583	1077682
540	106766	1077332
541	106955	1077053
542	107147	1076806
543	107326	1076425
544	107509	1076078
545	107694	1075766
546	107977	1076419
547	108207	1076543
548	108433	1076628
549	108654	1076663
550	108840	1076353
551	109047	1076254
552	109245	1076060
553	109428	1075720
554	109627	1075536
555	109821	1075306
556	110020	1075115
557	110211	1074857
558	110400	1074575
559	110594	1074349
560	110781	1074042
561	110967	1073734
562	111154	1073445
563	111344	1073175
564	111522	1072783
565	111696	1072363
566	111886	1072102
567	112060	1071675
568	112246	1071370
569	112436	1071106
570	112619	1070770
571	112797	1070391
572	112977	1070033
573	113148	1069591
574	113328	1069228
575	113510	1068887
576	113692	1068554
577	113865	1068126
578	114049	1067814
579	114237	1067527
580	114425	1067252
581	114617	1067002
582	114798	1066663
583	114990	1066416
584	115167	1066040
585	115340	1065624
586	115518	1065248
587	115696	1064884
588	115885	1064607
589	116102	1064602
590	116288	1064304
591	116472	1063988
592	116649	1063615
593	116839	1063361
594	117024	1063052
595	117197	1062645
596	117370	1062233
597	117552	1061900
598	117732	1061559
599	117906	1061159
600	118081	1060771
601	118264	1060453
602	118441	1060084
603	118621	1059739
604	118805	1059427
605	118986	1059094
606	119179	1058872
607	119376	1058683
608	119560	1058375
609	119750	1058126
610	119938	1057854
611	120117	1057505
612	120300	1057189
613	120489	1056935
614	120667	1056574
615	120838	1056163
616	121026	1055893
617	121213	1055617
618	121402	1055359
619	121692	1055976
620	121877	1055686
621	122058	1055353
622	122238	1055017
623	122413	1054640
624	122591	1054286
625	122779	1054018
626	122965	1053736
627	123152	1053461
628	123325	1053067
629	123506	1052742
630	123692	1052466
631	123876	1052166
632	124066	1051922
633	124246	1051585
634	124424	1051241
635	124603	1050904
636	124776	1050509
637	124958	1050202
638	125148	1049954
639	125328	1049624
640	125512	1049327
641	125728	1049302
642	125915	1049036
643	126099	1048744
644	126279	1048413
645	126461	1048106
646	126655	1047890
647	126831	1047532
648	127017	1047256
649	127197	1046936
650	127374	1046582
651	127549	1046218
652	127723	1045842
653	127912	1045597
654	128087	1045234
655	128265	1044897
656	128449	1044606
657	128633	1044314
658	128821	1044059
659	129015	1043855
660	129209	1043642
661	129379	1043247
662	129563	1042958
663	129771	1042864
664	129963	1042643
665	130142	1042310
666	130316	1041948
667	130497	1041634
668	130671	1041270
669	130857	1041000
670	131046	1040757
671	131234	1040504
672	131420	1040230
673	131602	1039931
674	131777	1039578
675	131960	1039285
676	132143	1038992
677	132317	1038635
678	132494	1038295
679	132683	1038054
680	132858	1037698
681	133040	1037400
682	133227	1037142
683	133414	1036884
684	133596	1036594
685	133775	1036270
686	133948	1035909
687	134123	1035558
688	134297	1035203
689	134475	1034875
690	134667	1034662
691	134889	1034669
692	135070	1034372
693	135252	1034077
694	135434	1033785
695	135613	1033470
696	135781	1033072
697	135955	1032717
698	136139	1032440
699	136321	1032148
700	136497	1031813
701	136690	1031604
702	136874	1031327
703	137056	1031041
704	137254	1030870
705	137444	1030641
706	137628	1030362
707	137807	1030051
708	137985	1029735
709	138157	1029372
710	138469	1030052
711	138717	1030247
712	138795	1029192
713	139036	1029335
714	139288	1029562
715	139539	1029786
716	139723	1029511
717	139943	1029498
718	140173	1029564
719	140360	1029309
720	140554	1029110
721	140745	1028881
722	140940	1028692
723	141131	1028468
724	141373	1028616
725	141578	1028489
726	141777	1028325
727	141969	1028109
728	142152	1027824
729	142328	1027496
730	142528	1027335
731	142728	1027174
732	142919	1026952
733	143108	1026714
734	143298	1026488
735	143478	1026184
736	143659	1025891
737	143836	1025563
738	144021	1025299
739	144212	1025080
740	144405	1024867
741	144590	1024602
742	144759	1024224
743	144958	1024065
744	145149	1023840
745	145338	1023602
746	145521	1023328
747	145705	1023053
748	145892	1022808
749	146070	1022495
750	146249	1022186
751	146433	1021922
752	146609	1021592
753	146782	1021245
754	146962	1020950
755	147142	1020655
756	147322	1020355
757	147496	1020021
758	147670	1019687
759	147855	1019425
760	148038	1019152
761	148258	1019133
762	148438	1018838
763	148614	1018512
764	148795	1018230
765	149005	1018139
766	149193	1017901
767	149385	1017689
768	149568	1017412
769	149738	1017052
770	149915	1016744
771	150112	1016561
772	150305	1016360
773	150491	1016107
774	150674	1015836
775	150857	1015567
776	151035	1015259
777	151212	1014949
778	151387	1014626
779	151571	1014364
780	151754	1014091
781	151933	1013793
782	152120	1013550
783	152302	1013277
784	152484	1012999
785	152670	1012750
786	152844	1012423
787	153013	1012066
788	153196	1011798
789	153373	1011488
790	153554	1011210
791	153728	1010878
792	153906	1010584
793	154095	1010352
794	154275	1010067
795	154467	1009863
796	154652	1009609
797	154828	1009293
798	155002	1008974
799	155182	1008685
800	155360	1008385
801	155540	1008105
802	155717	1007798
803	155897	1007519
804	156079	1007244
805	156256	1006944
806	156443	1006703
807	156630	1006469
808	156806	1006159
809	156989	1005892
810	157167	1005603
811	157347	1005317
812	157541	1005128
813	157729	1004895
814	157942	1004822
815	158132	1004606
816	158316	1004352
817	158499	1004089
818	158687	1003855
819	158868	1003583
820	159045	1003282
821	159227	1003014
822	159406	1002730
823	159586	1002449
824	159765	1002163
825	159949	1001911
826	160129	1001630
827	160311	1001363
828	160485	1001049
829	160670	1000804
830	160855	1000553
831	161037	1000293
832	161214	999992
833	161393	999707
834	161575	999447
835	161752	999153
836	161925	998832
837	162094	998487
838	162284	998271
839	162464	997998
840	162634	997661
841	162816	997394
842	163000	997142
843	163183	996889
844	163367	996637
845	163550	996384
846	163765	996322
847	163983	996276
848	164205	996254
849	164423	996210
850	164604	995942
851	164813	995843
852	164995	995579
853	165186	995377
854	165365	995092
855	165542	994802
856	165723	994536
857	165904	994265
858	166076	993948
859	166249	993632
860	166437	993405
861	166621	993158
862	166797	992859
863	166972	992558
864	167144	992237
865	167331	992008
866	167509	991723
867	167687	991440
868	167869	991182
869	168051	990923
870	168224	990613
871	168402	990331
872	168588	990094
873	168769	989829
874	168949	989562
875	169125	989271
876	169309	989021
877	169486	988737
878	169665	988459
879	169941	988752
880	170156	988682
881	170360	988557
882	170554	988364
883	170742	988145
884	170933	987938
885	171128	987752
886	171303	987456
887	171494	987250
888	171684	987038
889	171869	986801
890	172055	986565
891	172230	986271
892	172414	986026
893	172602	985804
894	172789	985577
895	173015	985569
896	173214	985409
897	173388	985106
898	173560	984795
899	173735	984498
900	173905	984175
901	174078	983869
902	174252	983569
903	174434	983314
904	174609	983024
905	174799	982811
906	175022	982787
907	175215	982596
908	175444	982607
909	175651	982492
910	175825	982190
911	175997	981881
912	176174	981596
913	176410	981645
914	176626	981581
915	176914	981916
916	177112	981745
917	177348	981791
918	177555	981676
919	177762	981557
920	177952	981345
921	178131	981077
922	178344	980991
923	178520	980703
924	178696	980413
925	178873	980132
926	179048	979840
927	179219	979527
928	179392	979226
929	179563	978911
930	179743	978645
931	179954	978548
932	180161	978430
933	180372	978336
934	180550	978059
935	180720	977745
936	180890	977427
937	181071	977168
938	181240	976846
939	181416	976561
940	181614	976393
941	181806	976194
942	181980	975903
943	182154	975604
944	182334	975342
945	182506	975037
946	182677	974731
947	182851	974436
948	183022	974127
949	183210	973908
950	183446	973942
951	183641	973762
952	183845	973631
953	184040	973449
954	184230	973236
955	184424	973050
956	184617	972859
957	184803	972627
958	184984	972373
959	185162	972102
960	185351	971888
961	185531	971631
962	185716	971393
963	185896	971135
964	186081	970904
965	186275	970715
966	186503	970705
967	186677	970412
968	186859	970164
969	187044	969930
970	187220	969652
971	187390	969340
972	187585	969161
973	187766	968907
974	187968	968762
975	188151	968519
976	188329	968250
977	188522	968054
978	188705	967813
979	188887	967565
980	189070	967325
981	189283	967233
982	189485	967087
983	189674	966879
984	189859	966647
985	190050	966444
986	190232	966197
987	190418	965969
988	190604	965744
989	190802	965576
990	190991	965365
991	191188	965194
992	191381	965000
993	191558	964730
994	191739	964479
995	191914	964198
996	192085	963892
997	192259	963609
998	192429	963304
999	192598	962992
1000	192772	962706
1001	192944	962412
1002	193114	962105
1003	193328	962020
1004	193508	961764
1005	193681	961474
1006	193849	961160
1007	194022	960874
1008	194190	960559
1009	194361	960261
1010	194528	959943
1011	194706	959677
1012	194888	959437
1013	195071	959198
1014	195248	958930
1015	195425	958663
1016	195601	958390
1017	195782	958139
1018	195957	957866
1019	196167	957758
1020	196351	957526
1021	196528	957256
1022	196698	956959
1023	196872	956678
1024	197048	956406
1025	197227	956149
1026	197398	955853
1027	197571	955568
1028	197741	955269
1029	197922	955024
1030	198107	954798
1031	198470	955428
1032	198775	955779
1033	199081	956127
1034	199341	956259
1035	199544	956116
1036	199766	956067
1037	200006	956102
1038	200191	955870
1039	200375	955637
1040	200621	955696
1041	200818	955524
1042	201018	955369
1043	201194	955096
1044	201383	954886
1045	201565	954643
1046	201743	954380
1047	201963	954315
1048	202170	954193
1049	202380	954080
1050	202571	953877
1051	202759	953665
1052	202949	953457
1053	203146	953286
1054	203331	953056
1055	203581	953133
1056	203771	952925
1057	203955	952693
1058	204133	952428
1059	204306	952145
1060	204499	951955
1061	204676	951688
1062	204852	951418
1063	205029	951151
1064	205214	950922
1065	205394	950670
1066	205573	950415
1067	205774	950261
1068	205947	949978
1069	206123	949707
1070	206302	949454
1071	206486	949222
1072	206663	948957
1073	206843	948707
1074	207020	948443
1075	207193	948159
1076	207360	947850
1077	207530	947554
1078	207698	947249
1079	207870	946965
1080	208044	946689
1081	208234	946484
1082	208401	946178
1083	208576	945906
1084	208752	945638
1085	208936	945409
1086	209126	945203
1087	209316	945004
1088	209502	944780
1089	209688	944558
1090	209966	944755
1091	210197	944734
1092	210409	944628
1093	210606	944455
1094	210801	944274
1095	211006	944139
1096	211245	944151
1097	211435	943948
1098	211620	943725
