number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,state
10,0.7591914091195334,2025-10-14 00:44:20.441154,2025-10-14 00:44:50.159086,0 days 00:00:29.717932,0.9538323976412588,4,gbdt,0.886067844878718,0.9766771359497862,0.6695903524464729,0.0050695240451904405,5,76,0.027585755040565922,128,COMPLETE
11,0.7593655983871537,2025-10-14 00:44:50.162438,2025-10-14 00:45:11.142930,0 days 00:00:20.980492,0.9132335190929217,4,gbdt,0.9773778853851628,0.7571262865901494,0.013906060398697961,0.01125464824042569,-1,72,0.027207276645573885,16,COMPLETE
12,0.760453201009108,2025-10-14 00:45:11.145220,2025-10-14 00:45:32.717958,0 days 00:00:21.572738,0.9980082658737177,4,gbdt,0.9930899415141673,0.9942460885963612,0.0036895999588275365,0.014265138162796039,-1,76,0.026482461330550773,16,COMPLETE
13,0.7598767350382971,2025-10-14 00:45:32.720021,2025-10-14 00:45:52.991055,0 days 00:00:20.271034,0.9954169742310286,3,gbdt,0.7213785203554233,0.999472629618036,0.8405826438580081,0.015705631302127234,4,95,0.021855932197366482,16,COMPLETE
14,0.7602902482563878,2025-10-14 00:45:52.995199,2025-10-14 00:46:33.738046,0 days 00:00:40.742847,0.637877442871202,5,gbdt,0.869376242509013,0.4488431862525139,0.015090055453537143,0.005686413917135672,-1,83,0.03214934217888981,32,COMPLETE
15,0.7276967330121342,2025-10-14 00:46:33.739849,2025-10-14 00:46:40.054258,0 days 00:00:06.314409,0.6112877943387895,5,gbdt,0.9913368583750904,0.3583902847905419,0.009524516083712754,0.015264612277621286,1,89,0.033272062979396264,48,COMPLETE
16,0.7609683276044146,2025-10-14 00:46:40.056117,2025-10-14 00:47:04.508384,0 days 00:00:24.452267,0.8982393444710525,5,gbdt,0.9147220349249673,0.4225618679760095,0.15104596120767105,0.01274279283313665,7,66,0.035816665085451005,40,COMPLETE
17,0.7595041520288267,2025-10-14 00:47:04.512255,2025-10-14 00:47:27.761121,0 days 00:00:23.248866,0.8897141011558393,3,gbdt,0.9189991401785472,0.2712301803544349,0.8251920172231035,0.012592618071407708,7,67,0.039416588880006695,48,COMPLETE
18,0.7596389632714364,2025-10-14 00:47:27.763570,2025-10-14 00:49:16.690026,0 days 00:01:48.926456,0.8708212734909406,6,dart,0.937583206930923,0.6398425719810309,0.2514317631054029,0.020184742917546027,7,66,0.03217215850135967,40,COMPLETE
19,0.7613275431703359,2025-10-14 00:49:16.693999,2025-10-14 00:49:36.122548,0 days 00:00:19.428549,0.989597490830107,6,gbdt,0.9935183677374444,0.4941352886042697,1.6436056894989055,0.01775834373149064,9,52,0.007962205769490298,16,COMPLETE
20,0.7600121282258745,2025-10-14 00:49:36.124883,2025-10-14 00:49:47.403755,0 days 00:00:11.278872,0.8530376566790268,6,gbdt,0.8997667449755823,0.48065163540761624,1.494175198821833,0.020153398904821884,9,46,0.011306331624924584,48,COMPLETE
21,0.7604935679296743,2025-10-14 00:49:47.409008,2025-10-14 00:50:06.864142,0 days 00:00:19.455134,0.9881521895502142,5,gbdt,0.9865003697330635,0.373448794062361,1.7194044659119503,0.01337875727548767,9,64,0.005878949780088707,16,COMPLETE
22,0.762100468229771,2025-10-14 00:50:06.866008,2025-10-14 00:50:21.133038,0 days 00:00:14.267030,0.9436377946664403,5,gbdt,0.9542436217867867,0.36124534636116445,1.6583770380773004,0.019330336865129066,9,51,0.0063587406995280924,24,COMPLETE
23,0.7592112405032605,2025-10-14 00:50:21.137048,2025-10-14 00:50:36.383823,0 days 00:00:15.246775,0.937961594526056,6,gbdt,0.947914947663845,0.19269415482820434,1.6452566030807139,0.018572484403460657,10,31,0.007998509730298281,32,COMPLETE
24,0.7601937852643205,2025-10-14 00:50:36.386265,2025-10-14 00:50:57.298992,0 days 00:00:20.912727,0.9505328898582166,5,gbdt,0.8572537641150577,0.537291697882116,1.6728532040004969,0.010777682949532538,6,48,0.006252870753846059,24,COMPLETE
25,0.7611337504655737,2025-10-14 00:50:57.302312,2025-10-14 00:51:13.696179,0 days 00:00:16.393867,0.7502780425469886,6,gbdt,0.9485195622505924,0.4106154249850188,1.0064918811674979,0.01806935903936326,8,35,0.009863425806631292,40,COMPLETE
26,0.7596126275187389,2025-10-14 00:51:13.698556,2025-10-14 00:53:32.853450,0 days 00:02:19.154894,0.7484885472869306,6,dart,0.9555400184202256,0.29279813539154476,1.0126996279702,0.01795563917880385,8,21,0.010243768325796408,64,COMPLETE
27,0.7583311101880391,2025-10-14 00:53:32.857581,2025-10-14 00:53:42.503565,0 days 00:00:09.645984,0.8443772759136309,6,gbdt,0.7624610977947756,0.5494129617777894,1.8072282385748806,0.03501179300037419,10,35,0.0030505032086491405,24,COMPLETE
28,0.7590513484782127,2025-10-14 00:53:42.506667,2025-10-14 00:53:53.844718,0 days 00:00:11.338051,0.7599883664125442,7,gbdt,0.9614578802212921,0.1900247300127622,1.54608357011459,0.023281403590623737,10,51,0.012031929099969987,40,COMPLETE
29,0.7591103473099263,2025-10-14 00:53:53.847224,2025-10-14 00:55:11.347785,0 days 00:01:17.500561,0.933584698134126,6,dart,0.7042256138489096,0.6558174689667873,1.3626598691559415,0.030509910066258347,5,25,0.00020250541477712276,56,COMPLETE
30,0.7615471326770987,2025-10-14 00:55:11.351609,2025-10-14 00:55:26.170268,0 days 00:00:14.818659,0.752990449188799,7,gbdt,0.8363859891028941,0.3759661346554937,1.1680630353352655,0.017171399313968858,8,40,0.019089053990118898,24,COMPLETE
31,0.7608408125099564,2025-10-14 00:55:26.172459,2025-10-14 00:55:38.159696,0 days 00:00:11.987237,0.7178586448322043,7,gbdt,0.836385085565067,0.36992242914184603,1.189660968147026,0.017493259507801277,8,41,0.018999737099007208,24,COMPLETE
32,0.7619014535429264,2025-10-14 00:55:38.161611,2025-10-14 00:55:52.214553,0 days 00:00:14.052942,0.7751522745057279,7,gbdt,0.9020936174881491,0.5371375320693823,1.0084183890062257,0.0219981623967029,8,35,0.013950674461177117,32,COMPLETE
33,0.760799106518271,2025-10-14 00:55:52.216793,2025-10-14 00:56:08.283081,0 days 00:00:16.066288,0.785124803408521,7,gbdt,0.8796984474593005,0.5458250676367319,1.4879253069007703,0.02153024617748958,11,44,0.013430578042297464,24,COMPLETE
