model	mean_overall	mean_perchr
Lasso	0.7394065623730477	0.7356838840336939
ElasticNet	0.7349175590493691	0.7311656118497207
Ridge	0.7035325062756963	0.6993503525561431
LinearRegression	0.70304381415128	0.6988405291973394
