feature	coef	abs_coef	nonzero
DNase_tss_entropy	-0.053736607275531215	0.053736607275531215	True
DNase_H3K4me3_interaction_rank	0.03073120076291165	0.03073120076291165	True
DNase_ratio_std_rank	0.023899009633345694	0.023899009633345694	True
H3K36me3_gene_z_mean_rank	0.02285659444846764	0.02285659444846764	True
DNase_tss_autocorr_rank	0.0228535453936108	0.0228535453936108	True
DNase_promoter_body_delta_rank	0.021434826529333782	0.021434826529333782	True
H3K4me3_gene_z_std	0.016076529122742662	0.016076529122742662	True
DNase_tss_entropy_rank	0.013057013714783568	0.013057013714783568	True
H3K27ac_tss_z_mean_rank	0.012309841399846347	0.012309841399846347	True
H3K4me3_promoter_body_delta	-0.011191317912880094	0.011191317912880094	True
DNase_gene_autocorr_rank	0.010620956971190547	0.010620956971190547	True
H3K36me3_tss_z_mean_rank	-0.010220663118437076	0.010220663118437076	True
DNase_H3K27ac_interaction_rank	0.008675539709552814	0.008675539709552814	True
H3K27me3_gene_z_std_rank	0.008294387235594888	0.008294387235594888	True
H3K27ac_tss_entropy_rank	-0.007935064341079162	0.007935064341079162	True
H3K27ac_tss_skewness	0.007892728158397358	0.007892728158397358	True
H3K36me3_H3K4me1_interaction_rank	-0.007837207936239697	0.007837207936239697	True
H3K4me1_tss_entropy_rank	-0.007446948513147375	0.007446948513147375	True
H3K36me3_ratio_std_rank	-0.0065720846818411015	0.0065720846818411015	True
H3K36me3_axis_sum	0.006418168666738234	0.006418168666738234	True
H3K4me3_gene_autocorr_rank	0.0062703796510648144	0.0062703796510648144	True
H3K27ac_tss_skewness_rank	-0.0062663203919447324	0.0062663203919447324	True
H3K4me3_tss_z_min	-0.005747201244152528	0.005747201244152528	True
tss_length	0.005474093374597262	0.005474093374597262	True
H3K9me3_gene_z_std_rank	-0.005435652911872368	0.005435652911872368	True
DNase_tss_autocorr	-0.005137202737177917	0.005137202737177917	True
H3K27me3_ratio_std_rank	-0.00505883855152846	0.00505883855152846	True
H3K4me1_tss_z_min	-0.004877608096051609	0.004877608096051609	True
activation_index_rank	0.0045892563401554514	0.0045892563401554514	True
H3K27ac_ratio_std_rank	-0.004419087636207976	0.004419087636207976	True
DNase_gene_z_std	-0.00428981190041059	0.00428981190041059	True
H3K27ac_H3K36me3_interaction_rank	-0.003980946499071869	0.003980946499071869	True
promoter_variability_rank	0.003808687856211507	0.003808687856211507	True
H3K36me3_ratio_mean_rank	-0.0036750160285388593	0.0036750160285388593	True
H3K4me3_H3K27me3_interaction	-0.003639118241077018	0.003639118241077018	True
H3K27ac_H3K4me3_interaction_rank	0.003566449633869133	0.003566449633869133	True
H3K27me3_gene_z_mean_rank	0.003381218923595103	0.003381218923595103	True
DNase_H3K27me3_interaction	-0.003320032209833244	0.003320032209833244	True
H3K27ac_H3K4me3_interaction	0.0032721081991564562	0.0032721081991564562	True
H3K4me1_tss_z_min_rank	-0.0030002676042865687	0.0030002676042865687	True
H3K9me3_gene_z_mean	-0.0029746332535495654	0.0029746332535495654	True
H3K27ac_gene_autocorr_rank	0.00297327511603594	0.00297327511603594	True
DNase_gene_z_min	-0.0029650430256841324	0.0029650430256841324	True
H3K27ac_gene_skewness	0.0029575463869853037	0.0029575463869853037	True
H3K36me3_gene_slope_rank	-0.00294744713699758	0.00294744713699758	True
H3K27ac_H3K9me3_interaction	-0.002833109633674109	0.002833109633674109	True
H3K27ac_tss_kurtosis	0.0027573038466167646	0.0027573038466167646	True
DNase_H3K27me3_interaction_rank	0.0027374376431125082	0.0027374376431125082	True
H3K9me3_gene_autocorr_rank	0.002726396904398885	0.002726396904398885	True
H3K27ac_gene_z_min	-0.0026937048096959213	0.0026937048096959213	True
H3K4me1_gene_slope_rank	-0.0026624856925260044	0.0026624856925260044	True
H3K9me3_tss_autocorr_rank	0.002644579977728832	0.002644579977728832	True
H3K4me3_tss_slope	-0.0025746382704001786	0.0025746382704001786	True
H3K4me1_tss_autocorr_rank	-0.002422422568901875	0.002422422568901875	True
H3K4me3_gene_z_min_rank	0.002417778932957528	0.002417778932957528	True
DNase_H3K4me1_interaction	0.0023828791386501743	0.0023828791386501743	True
DNase_tss_skewness_rank	-0.0023790945493712794	0.0023790945493712794	True
H3K36me3_tss_autocorr_rank	0.0022912877750830246	0.0022912877750830246	True
H3K9me3_tss_z_min	-0.002176882652065726	0.002176882652065726	True
H3K9me3_tss_slope	-0.002173735797769076	0.002173735797769076	True
H3K27me3_gene_autocorr_rank	0.0021215357044847634	0.0021215357044847634	True
H3K4me3_ratio_mean	-0.0021150046873221052	0.0021150046873221052	True
H3K9me3_gene_slope_rank	-0.0018373918627332935	0.0018373918627332935	True
H3K9me3_axis_sum	-0.0017768304414138962	0.0017768304414138962	True
H3K27ac_H3K27me3_interaction	-0.0017578087047994929	0.0017578087047994929	True
H3K27me3_tss_skewness_rank	0.0016920394184043502	0.0016920394184043502	True
H3K27ac_tss_z_min_rank	0.0016330076546672019	0.0016330076546672019	True
H3K27me3_gene_entropy	0.0016053016245947082	0.0016053016245947082	True
H3K4me3_ratio_mean_rank	0.0015912884685164875	0.0015912884685164875	True
H3K4me1_gene_z_min_rank	-0.0014168255774545187	0.0014168255774545187	True
H3K27me3_gene_slope_rank	-0.0013598241183050933	0.0013598241183050933	True
H3K36me3_tss_entropy_rank	-0.0012740036366580658	0.0012740036366580658	True
H3K27ac_H3K36me3_interaction	-0.001260915354708108	0.001260915354708108	True
H3K4me3_tss_autocorr	0.0011968601059723792	0.0011968601059723792	True
H3K4me3_H3K27me3_interaction_rank	0.0011288330020443214	0.0011288330020443214	True
H3K36me3_gene_skewness_rank	0.0011164061756406384	0.0011164061756406384	True
H3K27ac_promoter_body_delta	0.0010690324825776989	0.0010690324825776989	True
H3K4me1_gene_kurtosis	-0.0010513041090326445	0.0010513041090326445	True
H3K4me3_ratio_std_rank	0.0010192368182155849	0.0010192368182155849	True
DNase_ratio_mean_rank	0.0009610810772036223	0.0009610810772036223	True
DNase_H3K36me3_interaction	0.000957224026073022	0.000957224026073022	True
H3K9me3_tss_entropy	-0.0009555164062673503	0.0009555164062673503	True
DNase_tss_skewness	-0.000888173181566728	0.000888173181566728	True
DNase_tss_z_min	-0.0008808938657200917	0.0008808938657200917	True
H3K27me3_promoter_body_delta	0.0008799570384595721	0.0008799570384595721	True
H3K4me1_tss_slope	-0.0006740513422617383	0.0006740513422617383	True
H3K36me3_gene_z_min	-0.0006654336635290858	0.0006654336635290858	True
H3K27me3_tss_slope	0.000664581772892272	0.000664581772892272	True
H3K4me3_gene_entropy	0.0006572609870665119	0.0006572609870665119	True
H3K4me1_tss_kurtosis_rank	-0.0006165997283406845	0.0006165997283406845	True
H3K27me3_gene_slope	0.0005617294035840718	0.0005617294035840718	True
promoter_entropy_rank	-0.0004980280872461132	0.0004980280872461132	True
H3K4me1_tss_kurtosis	-0.00043103796155934224	0.00043103796155934224	True
H3K9me3_tss_kurtosis	-0.0004223844220473283	0.0004223844220473283	True
openness_index_rank	0.0003613312408856444	0.0003613312408856444	True
H3K4me1_promoter_body_delta	-0.0003383730138184497	0.0003383730138184497	True
DNase_tss_slope	0.00033314332901081744	0.00033314332901081744	True
H3K9me3_tss_kurtosis_rank	0.0003301093939185556	0.0003301093939185556	True
H3K36me3_gene_slope	0.00032674363061658196	0.00032674363061658196	True
