feature	coef	abs_coef	nonzero
DNase_ratio_std_rank	0.05530166045999432	0.05530166045999432	True
DNase_tss_autocorr_rank	0.04196051472008122	0.04196051472008122	True
DNase_H3K4me3_interaction_rank	0.040608511789114725	0.040608511789114725	True
DNase_tss_entropy	-0.038072047653959745	0.038072047653959745	True
H3K36me3_gene_z_mean_rank	0.021489348423834147	0.021489348423834147	True
H3K4me3_tss_entropy_rank	-0.017954275857039303	0.017954275857039303	True
H3K4me3_ratio_std_rank	-0.01725037603789156	0.01725037603789156	True
H3K4me3_gene_z_std	0.014387636685217456	0.014387636685217456	True
H3K36me3_axis_sum_rank	0.012327229785808132	0.012327229785808132	True
DNase_tss_entropy_rank	0.011883143909876577	0.011883143909876577	True
H3K4me3_gene_autocorr_rank	0.011379304594839237	0.011379304594839237	True
DNase_H3K4me3_interaction	-0.009955933750054128	0.009955933750054128	True
DNase_tss_autocorr	-0.00978503827622867	0.00978503827622867	True
H3K4me3_H3K27me3_interaction_rank	0.009623776566951743	0.009623776566951743	True
H3K4me1_tss_z_min_rank	-0.009596096498997295	0.009596096498997295	True
H3K27me3_tss_z_min_rank	0.009080021169699283	0.009080021169699283	True
H3K9me3_tss_z_min_rank	0.009027945239507366	0.009027945239507366	True
H3K36me3_tss_z_mean_rank	-0.008514155340555773	0.008514155340555773	True
H3K4me3_tss_entropy	-0.007899265835412285	0.007899265835412285	True
H3K4me3_tss_z_min_rank	0.007416158082976592	0.007416158082976592	True
openness_index_rank	0.007379023082313545	0.007379023082313545	True
H3K36me3_tss_z_min	0.007245393694114253	0.007245393694114253	True
tss_length	0.00718042424657683	0.00718042424657683	True
DNase_gene_autocorr_rank	-0.0067288097596988426	0.0067288097596988426	True
H3K4me3_gene_entropy_rank	-0.006298755992861964	0.006298755992861964	True
H3K27me3_gene_z_std_rank	0.006256024775064963	0.006256024775064963	True
H3K27me3_gene_entropy	0.006132245812369456	0.006132245812369456	True
H3K4me3_promoter_body_delta_rank	0.0060151892158791945	0.0060151892158791945	True
H3K27ac_H3K4me1_interaction_rank	0.005416321789919709	0.005416321789919709	True
H3K4me3_tss_skewness	0.005333850391688571	0.005333850391688571	True
H3K27ac_tss_z_mean_rank	0.004998716023225943	0.004998716023225943	True
H3K36me3_axis_sum	0.004587209175798226	0.004587209175798226	True
H3K27ac_gene_z_min	-0.00435718782382836	0.00435718782382836	True
H3K27ac_H3K4me3_interaction_rank	0.004246225267551053	0.004246225267551053	True
H3K27me3_tss_entropy_rank	0.0042181347096978405	0.0042181347096978405	True
DNase_tss_skewness	-0.004095166319020457	0.004095166319020457	True
H3K27me3_gene_z_std	-0.004065771107997201	0.004065771107997201	True
H3K27me3_tss_kurtosis_rank	0.0039476231441177055	0.0039476231441177055	True
H3K27ac_gene_autocorr_rank	0.003822128598086748	0.003822128598086748	True
H3K9me3_gene_z_mean	-0.003757200030771432	0.003757200030771432	True
H3K27me3_gene_z_min_rank	0.003737950034842612	0.003737950034842612	True
H3K4me3_gene_z_min_rank	0.003622954256959507	0.003622954256959507	True
activation_index_rank	0.0035922107527325596	0.0035922107527325596	True
H3K4me1_tss_skewness_rank	-0.0033941766351017607	0.0033941766351017607	True
H3K4me3_ratio_mean_rank	0.0033937020062976067	0.0033937020062976067	True
H3K4me3_H3K9me3_interaction	0.0033594495101850618	0.0033594495101850618	True
H3K4me3_tss_z_min	0.0033582741042901937	0.0033582741042901937	True
H3K4me1_tss_kurtosis_rank	-0.0032419921818919862	0.0032419921818919862	True
DNase_H3K27me3_interaction	-0.0030911173676058702	0.0030911173676058702	True
H3K27me3_ratio_mean_rank	0.003073767073855534	0.003073767073855534	True
H3K4me3_H3K4me1_interaction	-0.0030302057548551157	0.0030302057548551157	True
DNase_tss_skewness_rank	-0.0029772927441356232	0.0029772927441356232	True
DNase_ratio_mean_rank	-0.002894593170133393	0.002894593170133393	True
H3K27ac_axis_sum_rank	0.0028917876696695185	0.0028917876696695185	True
H3K36me3_H3K4me1_interaction	-0.0028580644794291817	0.0028580644794291817	True
H3K27ac_H3K27me3_interaction_rank	-0.002795951366669024	0.002795951366669024	True
H3K4me1_promoter_body_delta	-0.0026965570875697805	0.0026965570875697805	True
DNase_H3K36me3_interaction	0.002557140426959719	0.002557140426959719	True
H3K4me3_tss_kurtosis_rank	0.0025171544649392635	0.0025171544649392635	True
H3K9me3_gene_autocorr_rank	-0.002332102457772276	0.002332102457772276	True
H3K27me3_promoter_body_delta	0.002315469390797128	0.002315469390797128	True
gene_length	-0.002250310355860508	0.002250310355860508	True
H3K9me3_gene_skewness_rank	-0.002231741288090404	0.002231741288090404	True
H3K4me3_tss_autocorr	0.002214644980253587	0.002214644980253587	True
DNase_gene_z_std	0.002124212908808651	0.002124212908808651	True
DNase_gene_skewness	0.0020425580286607668	0.0020425580286607668	True
H3K27ac_H3K36me3_interaction_rank	-0.002037697507420777	0.002037697507420777	True
H3K27me3_tss_autocorr_rank	0.001978590813640275	0.001978590813640275	True
H3K4me3_gene_skewness	-0.0019730864059080274	0.0019730864059080274	True
H3K4me1_tss_slope_rank	-0.0019410192175052935	0.0019410192175052935	True
H3K27me3_H3K36me3_interaction_rank	-0.0018934116224551968	0.0018934116224551968	True
H3K36me3_tss_autocorr_rank	-0.0018546439692984206	0.0018546439692984206	True
H3K9me3_tss_skewness	-0.001851770435260771	0.001851770435260771	True
DNase_H3K4me1_interaction_rank	0.0017537016856622124	0.0017537016856622124	True
DNase_tss_z_min	-0.00170377797150354	0.00170377797150354	True
